Date,Close,High,Low,Open,Volume,ticker
2026-05-05,36.459999084472656,36.900001525878906,36.060001373291016,36.58000183105469,33068329,HALKB.IS
2026-05-06,38.119998931884766,38.70000076293945,37.040000915527344,37.060001373291016,48378125,HALKB.IS
2026-05-07,40.31999969482422,40.540000915527344,38.2400016784668,38.2599983215332,46822434,HALKB.IS
2026-05-08,39.7599983215332,40.279998779296875,39.31999969482422,40.099998474121094,45730287,HALKB.IS
2026-05-11,40.79999923706055,40.959999084472656,39.41999816894531,39.900001525878906,51744021,HALKB.IS
2026-05-12,40.7599983215332,41.79999923706055,40.099998474121094,40.7400016784668,47409306,HALKB.IS
2026-05-13,39.5,42.18000030517578,39.220001220703125,41.900001525878906,75765360,HALKB.IS
2026-05-14,41.18000030517578,41.63999938964844,39.279998779296875,39.70000076293945,46579699,HALKB.IS
2026-05-15,40.400001525878906,41.20000076293945,39.86000061035156,40.81999969482422,35206072,HALKB.IS
2026-05-18,40.0,40.779998779296875,38.79999923706055,40.2599983215332,38203299,HALKB.IS
2026-05-20,38.880001068115234,40.2400016784668,38.2599983215332,40.0,36198006,HALKB.IS
2026-05-21,35.02000045776367,39.099998474121094,35.0,39.0,31296976,HALKB.IS
2026-05-22,38.08000183105469,38.52000045776367,34.939998626708984,34.939998626708984,73472223,HALKB.IS
2026-05-25,41.880001068115234,41.880001068115234,38.439998626708984,38.5,53672907,HALKB.IS
2026-05-26,42.099998474121094,43.439998626708984,41.7400016784668,42.2599983215332,34462203,HALKB.IS
2026-04-29,14.020000457763672,14.180000305175781,13.899999618530273,14.039999961853027,401053249,ISCTR.IS
2026-04-30,14.34000015258789,14.380000114440918,13.899999618530273,13.930000305175781,419305547,ISCTR.IS
2026-05-04,14.079999923706055,14.40999984741211,13.899999618530273,14.34000015258789,423931644,ISCTR.IS
2026-05-05,14.010000228881836,14.210000038146973,13.869999885559082,14.09000015258789,486344287,ISCTR.IS
2026-05-06,14.489999771118164,14.770000457763672,14.140000343322754,14.239999771118164,95650902,ISCTR.IS
2026-05-07,14.59000015258789,14.920000076293945,14.550000190734863,14.550000190734863,660026062,ISCTR.IS
2026-05-08,14.550000190734863,14.699999809265137,14.369999885559082,14.510000228881836,546706307,ISCTR.IS
2026-05-11,14.75,14.800000190734863,14.479999542236328,14.510000228881836,426833131,ISCTR.IS
2026-05-12,14.270000457763672,14.729999542236328,14.260000228881836,14.699999809265137,400763145,ISCTR.IS
2026-05-13,14.109999656677246,14.399999618530273,13.989999771118164,14.359999656677246,367364825,ISCTR.IS
2026-05-14,14.220000267028809,14.300000190734863,14.079999923706055,14.1899995803833,435548929,ISCTR.IS
2026-05-15,13.869999885559082,14.0600004196167,13.670000076293945,14.050000190734863,447939653,ISCTR.IS
2026-05-18,13.720000267028809,13.979999542236328,13.579999923706055,13.800000190734863,500280291,ISCTR.IS
2026-05-20,13.699999809265137,13.819999694824219,13.5600004196167,13.710000038146973,406734399,ISCTR.IS
2026-05-21,12.699999809265137,13.720000267028809,12.699999809265137,13.6899995803833,446688172,ISCTR.IS
2026-05-22,13.199999809265137,13.369999885559082,12.25,12.449999809265137,805251454,ISCTR.IS
2026-05-25,13.270000457763672,13.319999694824219,13.0600004196167,13.270000457763672,486394333,ISCTR.IS
2026-05-26,13.140000343322754,13.3100004196167,13.140000343322754,13.25,172707500,ISCTR.IS
2026-04-29,202.3000030517578,205.1999969482422,201.0,203.5,14148196,KCHOL.IS
2026-04-30,202.1999969482422,202.3000030517578,199.10000610351562,201.0,20347110,KCHOL.IS
2026-05-04,197.39999389648438,203.89999389648438,196.8000030517578,203.0,17627449,KCHOL.IS
2026-05-05,201.89999389648438,204.10000610351562,196.6999969482422,198.10000610351562,20548740,KCHOL.IS
2026-05-06,210.5,213.89999389648438,203.6999969482422,205.1999969482422,33421876,KCHOL.IS
2026-05-07,211.5,212.39999389648438,208.89999389648438,210.3000030517578,17128062,KCHOL.IS
2026-05-08,213.0,215.10000610351562,208.5,210.5,19667179,KCHOL.IS
2026-05-11,212.3000030517578,213.6999969482422,208.1999969482422,208.1999969482422,19232218,KCHOL.IS
2026-05-12,203.60000610351562,211.5,203.1999969482422,211.39999389648438,14970138,KCHOL.IS
2026-05-13,204.39999389648438,205.6999969482422,201.39999389648438,205.3000030517578,15473875,KCHOL.IS
2026-05-14,204.5,207.6999969482422,203.6999969482422,205.0,12668108,KCHOL.IS
2026-05-15,199.0,202.89999389648438,197.39999389648438,202.5,21455287,KCHOL.IS
2026-05-18,195.0,198.39999389648438,194.5,198.1999969482422,14300999,KCHOL.IS
2026-05-20,196.0,197.8000030517578,193.60000610351562,194.5,16259860,KCHOL.IS
2026-05-21,183.3000030517578,196.1999969482422,178.0,195.39999389648438,26343994,KCHOL.IS
